Commodity_Group,Price_Detail,Price_Type,MARKET,Unit_of_Measurement,PRICEID,Unit,Date,Value
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W8","809"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W9","817"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W10","831"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W11","849"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W12","866"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W13","873"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W14","872"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W15","873"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W16","887"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W17","892"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W18","898"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W19","899"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W20","895"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W21","882"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W22","868"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W23","847"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W24","849"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W25","833"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W26","816"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W27","810"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W28","805"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W29","782"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W30","751"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W31","729"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W32","743"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W33","750"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W34","757"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W35","768"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W36","771"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W37","786"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W38","775"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W39","757"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W40","745"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W41","743"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W42","739"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W43","723"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W44","701"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W45","686"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W46","707"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W47","725"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W48","737"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W49","769"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W50","817"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W51","854"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2010W52","876"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W1","885"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W2","901"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W3","940"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W4","990"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W5","1004"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W6","1021"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W7","1034"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W8","1037"
"Steel - Carbon","Cold-rolled Coil, Spot price","Point","USA, Midwest, FOB","USD/t","701","USD/t","2011W9","1049"
