gauge,width,steel_type,location,amount,effective_start_date,effective_end_date
24,60,galvanized,nucor_gallatin,10.50,2025-06-01,1900-01-01
26,36,galvanized,NLMK,14.00,2025-06-01,1900-01-01
26,36,galvanized,nucor_hickman,12.75,2025-06-01,1900-01-01
26,48,galvanized,NLMK,14.00,2025-06-01,1900-01-01
26,48,galvanized,nucor_hickman,12.75,2025-06-01,1900-01-01
26,48,galvanized,nucor_gallatin,12.75,2025-06-01,1900-01-01
26,60,galvanized,NLMK,14.00,2025-06-01,1900-01-01
26,60,galvanized,nucor_hickman,12.75,2025-06-01,1900-01-01
8,48,galvanneal,nucor_gallatin,1.50,2025-06-01,1900-01-01
8,60,galvanneal,nucor_gallatin,1.50,2025-06-01,1900-01-01
10,36,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
10,48,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
10,48,galvanneal,nucor_gallatin,1.75,2025-06-01,1900-01-01
10,60,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
10,60,galvanneal,nucor_gallatin,1.75,2025-06-01,1900-01-01
11,36,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
11,48,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
11,48,galvanneal,nucor_gallatin,1.75,2025-06-01,1900-01-01
11,60,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
11,60,galvanneal,nucor_gallatin,1.75,2025-06-01,1900-01-01
12,36,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
12,36,galvanneal,nucor_hickman,2,2025-06-01,1900-01-01
12,48,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
12,48,galvanneal,nucor_hickman,2,2025-06-01,1900-01-01
12,48,galvanneal,nucor_gallatin,2,2025-06-01,1900-01-01
12,60,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
12,60,galvanneal,nucor_hickman,2,2025-06-01,1900-01-01
12,60,galvanneal,nucor_gallatin,2,2025-06-01,1900-01-01
13,36,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
13,36,galvanneal,nucor_hickman,2,2025-06-01,1900-01-01
13,48,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
13,48,galvanneal,nucor_hickman,2,2025-06-01,1900-01-01
13,48,galvanneal,nucor_gallatin,2,2025-06-01,1900-01-01
13,60,galvanneal,NLMK,2.25,2025-06-01,1900-01-01
13,60,galvanneal,nucor_hickman,2,2025-06-01,1900-01-01
13,60,galvanneal,nucor_gallatin,2,2025-06-01,1900-01-01
14,36,galvanneal,NLMK,3.25,2025-06-01,1900-01-01
14,36,galvanneal,nucor_hickman,2.75,2025-06-01,1900-01-01
14,48,galvanneal,NLMK,3.25,2025-06-01,1900-01-01
14,48,galvanneal,nucor_hickman,2.75,2025-06-01,1900-01-01
14,48,galvanneal,nucor_gallatin,2.75,2025-06-01,1900-01-01
14,60,galvanneal,NLMK,3.25,2025-06-01,1900-01-01
14,60,galvanneal,nucor_hickman,2.75,2025-06-01,1900-01-01
14,60,galvanneal,nucor_gallatin,2.75,2025-06-01,1900-01-01
16,36,galvanneal,NLMK,4.00,2025-06-01,1900-01-01
16,36,galvanneal,nucor_hickman,2.75,2025-06-01,1900-01-01
16,48,galvanneal,NLMK,4.00,2025-06-01,1900-01-01
16,48,galvanneal,nucor_hickman,2.75,2025-06-01,1900-01-01
16,48,galvanneal,nucor_gallatin,2.75,2025-06-01,1900-01-01
16,60,galvanneal,NLMK,4.00,2025-06-01,1900-01-01
16,60,galvanneal,nucor_hickman,2.75,2025-06-01,1900-01-01
16,60,galvanneal,nucor_gallatin,2.75,2025-06-01,1900-01-01
18,36,galvanneal,NLMK,4.00,2025-06-01,1900-01-01
18,36,galvanneal,nucor_hickman,3.75,2025-06-01,1900-01-01
18,48,galvanneal,NLMK,4.00,2025-06-01,1900-01-01
18,48,galvanneal,nucor_hickman,3.75,2025-06-01,1900-01-01
18,60,galvanneal,NLMK,4.00,2025-06-01,1900-01-01
18,60,galvanneal,nucor_hickman,3.75,2025-06-01,1900-01-01
