gauge,width,steel_type,location,amount,effective_start_date,effective_end_date
16,60,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
18,36,cold_rolled,NLMK,0,2025-06-01,1900-01-01
18,36,cold_rolled,nucor_hickman,3.00,2025-06-01,1900-01-01
18,48,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
18,48,cold_rolled,NLMK,0,2025-06-01,1900-01-01
18,60,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
20,36,cold_rolled,NLMK,0,2025-06-01,1900-01-01
20,36,cold_rolled,nucor_hickman,3.00,2025-06-01,1900-01-01
20,48,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
20,48,cold_rolled,NLMK,0,2025-06-01,1900-01-01
20,60,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
22,36,cold_rolled,NLMK,0,2025-06-01,1900-01-01
22,36,cold_rolled,nucor_hickman,3.00,2025-06-01,1900-01-01
22,48,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
22,48,cold_rolled,NLMK,0,2025-06-01,1900-01-01
22,60,cold_rolled,nucor_hickman,0,2025-06-01,1900-01-01
24,36,cold_rolled,NLMK,3.00,2025-06-01,1900-01-01
24,36,cold_rolled,nucor_hickman,6,2025-06-01,1900-01-01
24,48,cold_rolled,nucor_hickman,3,2025-06-01,1900-01-01
24,48,cold_rolled,NLMK,3.00,2025-06-01,1900-01-01
24,60,cold_rolled,nucor_hickman,3,2025-06-01,1900-01-01
10,36,galvanized,NLMK,1,2025-06-01,1900-01-01
10,48,galvanized,NLMK,0,2025-06-01,1900-01-01
10,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
10,60,galvanized,NLMK,0,2025-06-01,1900-01-01
11,36,galvanized,NLMK,1,2025-06-01,1900-01-01
11,36,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
11,36,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
11,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
11,60,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
11,60,galvanized,NLMK,0,2025-06-01,1900-01-01
11,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
12,36,galvanized,NLMK,1,2025-06-01,1900-01-01
12,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
12,48,galvanized,NLMK,0,2025-06-01,1900-01-01
12,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
12,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
12,60,galvanized,NLMK,0,2025-06-01,1900-01-01
12,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
12,60,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
13,36,galvanized,NLMK,1,2025-06-01,1900-01-01
13,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
13,36,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
13,48,galvanized,NLMK,0,2025-06-01,1900-01-01
13,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
13,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
13,60,galvanized,NLMK,0,2025-06-01,1900-01-01
13,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
13,60,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
14,36,galvanized,NLMK,1,2025-06-01,1900-01-01
14,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
14,48,galvanized,NLMK,0,2025-06-01,1900-01-01
14,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
14,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
14,60,galvanized,NLMK,0,2025-06-01,1900-01-01
14,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
14,60,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
16,36,galvanized,NLMK,1,2025-06-01,1900-01-01
16,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
16,36,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
16,48,galvanized,NLMK,0,2025-06-01,1900-01-01
16,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
16,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
18,36,galvanized,NLMK,1,2025-06-01,1900-01-01
18,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
18,48,galvanized,NLMK,0,2025-06-01,1900-01-01
18,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
18,48,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
18,60,galvanized,NLMK,0,2025-06-01,1900-01-01
18,60,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
20,36,galvanized,NLMK,1,2025-06-01,1900-01-01
20,36,galvanized,nucor_hickman,3.00,2025-06-01,1900-01-01
20,36,galvanized,nucor_gallatin,0,2025-06-01,1900-01-01
20,48,galvanized,NLMK,0,2025-06-01,1900-01-01
20,48,galvanized,nucor_hickman,0,2025-06-01,1900-01-01
20,60,galvanized,NLMK,0,2025-06-01,1900-01-01
